Continent,GNI,ChangesInv,Exports,Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
Africa,2417.27,59.98,1124.58,1221.01,2057.66,532.65,1568.04,266.27,123.15,267.32,584.3,335.28,196.5,818.07
Asia,14723.87,199.07,11661.35,10047.4,8927.51,4111.4,6598.09,389.78,865.44,1934.58,4120.14,1845.18,1141.73,5774.33
Europe,40108.62,250.95,29887.88,26497.62,28093.88,9518.14,19846.68,626.62,2272.35,6046.51,7440.27,5328.66,3657.03,18266.84
North_America,22106.35,96.56,11672.97,10884.73,17785.16,4890.14,13559.66,648.65,1420.48,1551.29,2362.88,3516.86,1791.3,12435.07
Oceania,15458.88,76.65,3808.0,6066.03,13459.23,3550.49,8977.28,841.33,948.07,1043.65,2082.2,1953.3,1136.11,6753.44
South_America,8026.83,63.59,2815.08,2722.66,6414.67,1753.13,5139.92,617.76,450.53,971.76,2020.49,1046.6,578.4,2726.97
